Name,NetWorth,Country,Source,Rank
Hu Yangzhong,2900000000,China,technology,1064
Huang Qiaoling,2900000000,China,amusement parks,1064
Huang Zhenda & family,2900000000,China,construction,1064
Bradley Jacobs,2900000000,United States,logistics,1064
Osman Kibar,2900000000,United States,biotech,1064
Kim Taek-jin,2900000000,South Korea,online games,1064
Maritsa Lazari & family,2900000000,United Kingdom,real estate,1064
Pablo Legorreta,2900000000,United States,investments,1064
Liang Yunchao,2900000000,China,nutritional supplements,1064
Samir Mehta,2900000000,India,"pharmaceuticals, power",1064
Sudhir Mehta,2900000000,India,"pharmaceuticals, power",1064
Farhad Moshiri,2900000000,United Kingdom,diversified,1064
Patrice Motsepe,2900000000,South Africa,mining,1064
Matt Moulding,2900000000,United Kingdom,e-commerce,1064
Alexander Nesis,2900000000,Russia,"metals, banking, fertilizers",1064
Benjamin Otto,2900000000,Germany,retail,1064
Lucy Peng,2900000000,China,e-commerce,1064
Sebastian Piñera & family,2900000000,Chile,investments,1064
Alexander Ponomarenko,2900000000,Russia,"real estate, airport",1064
Chandru Raheja,2900000000,India,real estate,1064
Chad Richison,2900000000,United States,payroll processing,1064
Arkady Rotenberg,2900000000,Russia,"construction, pipes, banking",1064
Alejandro Santo Domingo,2900000000,United States,beer,1064
Paul Sciarra,2900000000,United States,Pinterest,1064
Alexander Skorobogatko,2900000000,Russia,"real estate, airport",1064
Jeff Sutton,2900000000,United States,real estate,1064
Glen Taylor,2900000000,United States,printing,1064
Urs Wietlisbach,2900000000,Switzerland,private equity,1064
Xu Yingzhuo,2900000000,China,agribusiness,1064
Jon Yarbrough,2900000000,United States,video games,1064
Ye Fan & family,2900000000,China,auto dealerships,1064
William Ackman,2800000000,United States,hedge funds,1111
Abdulla bin Ahmad Al Ghurair & family,2800000000,United Arab Emirates,diversified,1111
Bai Baokun,2800000000,China,hardware,1111
David Baszucki,2800000000,United States,online games,1111
Aneel Bhusri,2800000000,United States,business software,1111
Norman Braman,2800000000,United States,"art, car dealerships",1111
Eva Maria Bucher-Haefner,2800000000,Switzerland,"software, investments",1111
Vivek Chand Burman,2800000000,India,consumer goods,1111
John Catsimatidis,2800000000,United States,"oil, real estate",1111
Morris Chang,2800000000,Taiwan,semiconductors,1111
Chen Hua,2800000000,China,real estate,1111
Chen Huwen,2800000000,China,stationery,1111
Chen Huxiong,2800000000,China,stationery,1111
Chen Tianshi,2800000000,China,semiconductors,1111
James Clark,2800000000,United States,"Netscape, investments",1111
Jean Coutu & family,2800000000,Canada,drugstores,1111
Deng Weiming & family,2800000000,China,materials,1111
Bergit Douglas,2800000000,Germany,consumer goods,1111
Doris Fisher,2800000000,United States,Gap,1111
Gary Friedman,2800000000,United States,Furniture retail,1111
Valentin Gapontsev & family,2800000000,United States,lasers,1111
David Gottesman,2800000000,United States,investments,1111
John Henry,2800000000,United States,sports,1111
Alan Howard,2800000000,United Kingdom,hedge funds,1111
Micky Jagtiani,2800000000,India,retail,1111
Travis Kalanick,2800000000,United States,Uber,1111
Alicia Koplowitz,2800000000,Spain,"construction, investments",1111
Timur Kulibaev,2800000000,Kazakhstan,banking,1111
Dinara Kulibaeva,2800000000,Kazakhstan,banking,1111
Li Liufa & family,2800000000,China,"steel, diversified",1111
Li Sze Lim,2800000000,Hong Kong,real estate,1111
Li Xiaohua & family,2800000000,China,packaging,1111
Liu Ming Hui,2800000000,China,natural gas distribution,1111
Lv Jianming,2800000000,Hong Kong,medical equipment,1111
Rudy Ma,2800000000,Taiwan,finance,1111
"Drayton McLane, Jr.",2800000000,United States,"Walmart, logistics",1111
Hans Melchers,2800000000,Netherlands,"chemicals, investments",1111
Nguyen Thi Phuong Thao,2800000000,Vietnam,airlines,1111
Philip Niarchos,2800000000,Greece,art collection,1111
Alfred Oetker,2800000000,Germany,consumer goods,1111
August Oetker,2800000000,Germany,consumer goods,1111
Carl Ferdinand Oetker,2800000000,Germany,consumer goods,1111
Christian Oetker,2800000000,Germany,consumer goods,1111
Julia Oetker,2800000000,Germany,consumer goods,1111
Richard Oetker,2800000000,Germany,consumer goods,1111
Heloise Pratt,2800000000,Australia,"manufacturing, investment",1111
Filiz Sahenk,2800000000,Turkey,diversified,1111
T. Denny Sanford,2800000000,United States,"banking, credit cards",1111
Karin Schick,2800000000,Germany,information technology,1111
Hilton Schlosberg,2800000000,United Kingdom,energy drinks,1111
Rosely Schweizer,2800000000,Germany,consumer goods,1111
Warren Stephens,2800000000,United States,investment banking,1111
Konstantin Strukov,2800000000,Russia,"gold, coal mining",1111
Kenneth Tuchman,2800000000,United States,outsourcing,1111
Masateru Uno & family,2800000000,Japan,drugstores,1111
Stefan von Holtzbrinck,2800000000,Germany,publishing,1111
Lars Wingefors,2800000000,Sweden,video games,1111
Wong Kwong Yu & family,2800000000,China,retail,1111
Xiong Wu,2800000000,China,software,1111
Xu Jinfu,2800000000,China,chemicals,1111
Tony Xu,2800000000,United States,food delivery service,1111
Xu Zhihan,2800000000,China,electronics,1111
Zhong Ruonong & family,2800000000,China,electronics,1111
Miriam Baumann-Blocher,2700000000,Switzerland,chemicals,1174
Timothy Boyle,2700000000,United States,Columbia Sportswear,1174
John Paul DeJoria,2700000000,United States,"hair products, tequila",1174
Mitchell Goldhar,2700000000,Canada,real estate,1174
Luciano Hang,2700000000,Brazil,department stores,1174
Georg Haub,2700000000,Germany,retail,1174
Victor Jacobsson,2700000000,Sweden,fintech,1174
James Jannard,2700000000,United States,sunglasses,1174
Vinod Khosla,2700000000,United States,venture capital,1174
Valentin Kipyatkov,2700000000,Russia,computer software,1174
Lim Kok Thay,2700000000,Malaysia,casinos,1174
Lu Zhiqiang,2700000000,China,real estate,1174
Sergio Mantegazza,2700000000,Switzerland,travel,1174
Franziska Wuerbser & Gabriella Meister,2700000000,Germany,appliances,1174
Nan Cunhui,2700000000,China,power equipment,1174
Ou Zongrong & family,2700000000,China,real estate,1174
Sean Parker,2700000000,United States,Facebook,1174
Richard Peery,2700000000,United States,real estate,1174
"H. Ross Perot, Jr.",2700000000,United States,real estate,1174
Su Suyu & family,2700000000,China,"utilities, real estate",1174
Sun Shoukuan,2700000000,China,"metals, coal",1174
Harley Sy,2700000000,Philippines,diversified,1174
"Henry Sy, Jr.",2700000000,Philippines,diversified,1174
Teresita Sy-Coson,2700000000,Philippines,diversified,1174
Tao Yuequn,2700000000,China,Contact Lens,1174
Tong Jinquan,2700000000,China,real estate,1174
Tsai Ming-kai,2700000000,Taiwan,semiconductors,1174
Yitzhak Tshuva,2700000000,Israel,real estate,1174
Oprah Winfrey,2700000000,United States,TV shows,1174
Zhang Wanzhen,2700000000,China,electronics components,1174
Mortimer Zuckerman,2700000000,United States,"real estate, media",1174
Brian Acton,2600000000,United States,WhatsApp,1205
Rajendra Agarwal,2600000000,India,pharmaceuticals,1205
John Armitage,2600000000,Ireland,hedge funds,1205
Banwari Lal Bawri,2600000000,India,pharmaceuticals,1205
Girdhari Lal Bawri,2600000000,India,pharmaceuticals,1205
Guilherme Benchimol,2600000000,Brazil,financial services,1205
Cai Dongchen,2600000000,China,pharmaceuticals,1205
Choo Chong Ngen,2600000000,Singapore,hotels,1205
Abilio dos Santos Diniz,2600000000,Brazil,retail,1205
"John Dorrance, III.",2600000000,Ireland,Campbell Soup,1205
Bruce Flatt,2600000000,Canada,money management,1205
Stein Erik Hagen,2600000000,Norway,consumer goods,1205
Caroline Hagen Kjos,2600000000,Norway,conglomerate,1205
Hortensia Herrero,2600000000,Spain,supermarkets,1205
Anthony Hsieh,2600000000,United States,mortgage lender,1205
Hal Jackman,2600000000,Canada,"insurance, investments",1205
Brad Kelley,2600000000,United States,tobacco,1205
Raj Kumar & Kishin RK,2600000000,Singapore,real estate,1205
Adam Kwok,2600000000,Hong Kong,real estate,1205
Lai Shixian,2600000000,China,sports apparel,1205
Stephen Lansdown,2600000000,Guernsey,financial services,1205
K.C. Liu,2600000000,Taiwan,manufacturing,1205
Aloke Lohia,2600000000,India,petrochemicals,1205
Kalanithi Maran,2600000000,India,media,1205
C. Dean Metropoulos,2600000000,United States,investments,1205
Yuji Otsuka,2600000000,Japan,"copy machines, software",1205
Daniel Pritzker,2600000000,United States,"hotels, investments",1205
Ren Jianhua,2600000000,China,kitchen appliances,1205
Alexey Repik,2600000000,Russia,pharmaceuticals,1205
Steven Sarowitz,2600000000,United States,payroll software,1205
Yuri Shefler,2600000000,Russia,alcohol,1205
Shum Chiu Hung & family,2600000000,China,real estate,1205
Stephen Smith,2600000000,Canada,finance and investments,1205
Dan Snyder,2600000000,United States,Washington Redskins,1205
Helmut Sohmen,2600000000,Austria,shipping,1205
Tung Chee Hwa,2600000000,Hong Kong,shipping,1205
Pieter van der Does,2600000000,Netherlands,payments software,1205
Wim van der Leegte,2600000000,Netherlands,manufacturing,1205
Evan Williams,2600000000,United States,Twitter,1205
Wu Guangming,2600000000,China,medical equipment,1205
Yang Yuanxi,2600000000,China,video streaming app,1205
Yu Qibing & family,2600000000,China,glass,1205
Charles Zegar,2600000000,United States,Bloomberg LP,1205
Zhaojiang Zhu,2600000000,China,Smartphones,1205
John Arrillaga,2500000000,United States,real estate,1249
Carol Jenkins Barnett,2500000000,United States,Publix supermarkets,1249
William Berkley,2500000000,United States,insurance,1249
Markus Blocher,2500000000,Switzerland,chemicals,1249
Andrei Bokarev,2500000000,Russia,"metals, mining",1249
Jim Breyer,2500000000,United States,venture capital,1249
Charles Bronfman,2500000000,Canada,liquor,1249
Byju Raveendran and Divya Gokulnath,2500000000,India,education technology,1249
Chang Jing,2500000000,China,technology,1249
Leon G. Cooperman,2500000000,United States,hedge funds,1249
Jose Luis Cutrale,2500000000,Brazil,orange juice,1249
Gerald Ford,2500000000,United States,banking,1249
Phillip Frost,2500000000,United States,pharmaceuticals,1249
Mikhail Gutseriev,2500000000,Russia,"oil, real estate",1249
Hans-Werner Hector,2500000000,Germany,SAP,1249
Hu Kun,2500000000,China,medical equipment,1249
"Jeremy Jacobs, Sr. & family",2500000000,United States,food service,1249
Mark & Robyn Jones,2500000000,United States,insurance,1249
Hans Langer,2500000000,Germany,3D printing,1249
Lee Hae-jin,2500000000,South Korea,Internet,1249
Liang Feng,2500000000,China,manufacturing,1249
Lin Ming-hsiung,2500000000,Taiwan,supermarkets,1249
Mohamed Mansour,2500000000,Egypt,diversified,1249
Harsh Mariwala,2500000000,India,consumer goods,1249
Najib Mikati,2500000000,Lebanon,telecom,1249
Taha Mikati,2500000000,Lebanon,telecom,1249
Pedro Moreira Salles,2500000000,Brazil,"banking, minerals",1249
José Neves,2500000000,Portugal,luxury fashion,1249
Jerry Ng,2500000000,Indonesia,banking,1249
Nandan Nilekani,2500000000,India,software services,1249
Ravi Pillai,2500000000,India,construction,1249
Victor Pinchuk,2500000000,Ukraine,"steel pipes, diversified",1249
Matthew Prince,2500000000,United States,cybersecurity,1249
John Pritzker,2500000000,United States,"hotels, investments",1249
Rajan Raheja & family,2500000000,India,diversified,1249
Matthias Reinhart,2500000000,Switzerland,finance,1249
Ruan Shuilong & family,2500000000,China,chemicals,1249
Rodney Sacks,2500000000,United States,energy drinks,1249
Carlos Sanchez,2500000000,Brazil,generic drugs,1249
Kavitark Ram Shriram,2500000000,United States,"venture capital, Google",1249
André Street,2500000000,Brazil,fintech,1249
Sun Mengquan & family,2500000000,China,edible oil,1249
Daniel Sundheim,2500000000,United States,hedge funds,1249
Torsten Toeller,2500000000,Germany,pet food,1249
Peter Unger,2500000000,Germany,auto repair,1249
Wang Wenmo,2500000000,China,sports apparel,1249
Xie Juhua & family,2500000000,China,pharmaceuticals,1249
Xu Shaochun,2500000000,China,software,1249
Eddie & Sol Zakay,2500000000,United Kingdom,real estate,1249
Zhao Tao,2500000000,Singapore,pharmaceuticals,1249
Michael Ashley,2400000000,United Kingdom,sports retailing,1299
Yvonne Bauer,2400000000,Germany,media,1299
Alberto Bombassei,2400000000,Italy,automotive brakes,1299
Richard Chandler,2400000000,New Zealand,investments,1299
David Chen,2400000000,Singapore,online games,1299
Chen Jinxia,2400000000,China,investments,1299
Chen Xiao Ying,2400000000,China,health information,1299
Chen Xueli,2400000000,China,pharmaceuticals,1299
Kiat Chiaravanont,2400000000,Thailand,diversified,1299
Todd Christopher,2400000000,United States,hair care products,1299
Mark Coombs,2400000000,United Kingdom,finance,1299
Luigi Cremonini & family,2400000000,Italy,meat processing,1299
Smita Crishna-Godrej,2400000000,India,consumer goods,1299
Dai Lizhong,2400000000,China,medical testing,1299
Eduardo de Pontes,2400000000,Brazil,payments processing,1299
Chetan Dube,2400000000,United States,technology,1299
Stephen Feinberg,2400000000,United States,private equity,1299
Abhay Firodia,2400000000,India,automobiles,1299
Fu Mingkang & family,2400000000,China,manufacturing,1299
Gao Jifan & family,2400000000,China,solar equipment,1299
Geng Jianming,2400000000,China,real estate,1299
Sebastian Glaser,2400000000,Germany,sensor technology,1299
Adi Godrej,2400000000,India,consumer goods,1299
Jamshyd Godrej,2400000000,India,consumer goods,1299
Nadir Godrej,2400000000,India,consumer goods,1299
Philip & Cristina Green,2400000000,United Kingdom,fashion retail,1299
Lawrence Ho,2400000000,Hong Kong,casinos,1299
Donald Horton,2400000000,United States,homebuilding,1299
Douglas Hsu,2400000000,Taiwan,diversified,1299
Koo Kwang-mo,2400000000,South Korea,LG,1299
Jonathan Kwok,2400000000,Hong Kong,Real Estate,1299
Luo Yangyong & family,2400000000,China,mining,1299
Gail Miller,2400000000,United States,car dealerships,1299
Robert Miller,2400000000,United Kingdom,retail,1299
Vadim Moshkovich,2400000000,Russia,"agriculture, land",1299
Erwin Franz Mueller,2400000000,Germany,drugstores,1299
Rishad Naoroji,2400000000,India,consumer goods,1299
Madhukar Parekh,2400000000,India,adhesives,1299
Gregorio Perez Companc & family,2400000000,Argentina,oil & gas,1299
Dmitry Pumpyansky,2400000000,Russia,steel pipes,1299
Austin Russell,2400000000,United States,★,1299
Hussain Sajwani,2400000000,United Arab Emirates,real estate,1299
Jean Salata,2400000000,Chile,finance,1299
Karin Sartorius-Herbst,2400000000,Germany,biopharmaceuticals,1299
Alice Schwartz,2400000000,United States,biotech,1299
Antonio Luiz Seabra,2400000000,Brazil,cosmetics,1299
Shen Wenrong,2400000000,China,steel production,1299
Renate Sick-Glaser,2400000000,Germany,sensor technology,1299
William Stone,2400000000,United States,software,1299
Elizabeth Sy,2400000000,Philippines,diversified,1299
Tony Tan Caktiong & family,2400000000,Philippines,food,1299
Tang Jinkui & family,2400000000,China,"textiles, petrochemicals",1299
Roman Trotsenko,2400000000,Russia,"transport, engineering, real estate",1299
Donald Trump,2400000000,United States,real estate,1299
T.Y. Tsai,2400000000,Taiwan,finance,1299
John Tyson,2400000000,United States,food processing,1299
David Wertheim,2400000000,Israel,Coca Cola Israel,1299
Xiong Shaoming,2400000000,China,e-cigarettes,1299
Yang Jianliang & family,2400000000,China,machinery,1299
Michael Ying,2400000000,Hong Kong,retail,1299
Zhang Ning & family,2400000000,Canada,chemicals,1299
Zhang Zhixiang,2400000000,China,steel,1299
Zhao Hongfei,2400000000,China,software,1299
Bill and Jean Adderley & family,2300000000,United Kingdom,home furnishings,1362
Bill Alfond,2300000000,United States,shoes,1362
Susan Alfond,2300000000,United States,shoes,1362
Ted Alfond,2300000000,United States,shoes,1362
Carlos Ardila Lülle,2300000000,Colombia,"soft drinks, diversified",1362
Semahat Sevim Arsel,2300000000,Turkey,diversified,1362
Sezai Bacaksiz,2300000000,Turkey,diversified,1362
Suhail Bahwan,2300000000,Oman,diversified,1362
Bang Jun-hyuk,2300000000,South Korea,online gaming,1362
Bang Shi-hyuk,2300000000,South Korea,entertainment,1362
Anand Burman,2300000000,India,consumer goods,1362
Cao Longxiang & family,2300000000,China,pharmaceuticals,1362
Vanich Chaiyawan,2300000000,Thailand,"insurance, beverages",1362
Chen Zhisong,2300000000,China,communication equipment,1362
Jim Coulter,2300000000,United States,private equity,1362
"Edward DeBartolo, Jr.",2300000000,United States,shopping centers,1362
Maria Del Pino,2300000000,Spain,construction,1362
Deng Yingzhong,2300000000,China,paper,1362
Bob Ell,2300000000,Australia,real estate,1362
Sandeep Engineer,2300000000,India,plastic pipes,1362
Fong Yun Wah,2300000000,Hong Kong,real estate,1362
Lindsay Fox,2300000000,Australia,"logistics, real estate",1362
Mario Germano Giuliani,2300000000,Switzerland,pharmaceuticals,1362
Harsh Goenka,2300000000,India,diversified,1362
Noam Gottesman,2300000000,United States,hedge funds,1362
Joseph Grendys,2300000000,United States,poultry processing,1362
Guan Yihong,2300000000,China,restaurant,1362
David Hains,2300000000,Australia,Investments,1362
Michael Hintze,2300000000,Australia,investment,1362
Stewart Horejsi & family,2300000000,United States,Berkshire Hathaway,1362
Hua Xuande & family,2300000000,China,pharmaceuticals,1362
Jared Isaacman,2300000000,United States,payment processing,1362
David Jiang,2300000000,China,e-cigarettes,1362
Jiang Weiping & family,2300000000,China,chemicals,1362
Boris Jordan,2300000000,United States,cannabis,1362
Baba Kalyani,2300000000,India,engineering,1362
Jim Kavanaugh,2300000000,United States,IT provider,1362
Mustafa Rahmi Koc,2300000000,Turkey,diversified,1362
Eiichi Kuriwada,2300000000,Japan,package delivery,1362
Lai Jianfa,2300000000,China,express delivery,1362
Lam Kong,2300000000,China,pharmaceuticals,1362
David Xueling Li,2300000000,China,live streaming service,1362
Li Xuhui,2300000000,China,soy sauce,1362
Liang Zhaoxian,2300000000,China,appliances,1362
Liu Ming Chung,2300000000,Brazil,paper,1362
Alexander Mamut,2300000000,Russia,investments,1362
Daniel Mate,2300000000,Spain,"mining, commodities",1362
Clayton Mathile,2300000000,United States,pet food,1362
Aristotelis Mistakidis,2300000000,Greece,"mining, commodities",1362
Fernando Roberto Moreira Salles,2300000000,Brazil,"banking, minerals",1362
Joao Moreira Salles,2300000000,Brazil,"banking, minerals",1362
Walther Moreira Salles Junior,2300000000,Brazil,"banking, minerals",1362
Eugene Murtagh,2300000000,Ireland,building materials,1362
Nihat Ozdemir,2300000000,Turkey,diversified,1362
Gretel Packer,2300000000,Australia,casinos,1362
Andrew Paradise,2300000000,United States,★,1362
Karl-Johan Persson,2300000000,Sweden,H&M,1362
Tom Persson,2300000000,Sweden,H&M,1362
Stewart Rahr,2300000000,United States,drug distribution,1362
Krit Ratanarak,2300000000,Thailand,"media, real estate",1362
Michael Saylor,2300000000,United States,cryptocurrency,1362
"Karl Scheufele, III. & family",2300000000,Switzerland,jewelry,1362
Stephan Schmidheiny,2300000000,Switzerland,investments,1362
Vijay Shekhar Sharma,2300000000,India,financial technology,1362
Charlotte Soderstrom,2300000000,Sweden,H&M,1362
Sun Huaiqing & family,2300000000,China,cosmetics,1362
Sze Man Bok,2300000000,China,hygiene products,1362
Katsumi Tada,2300000000,Japan,real estate,1362
Ted Turner,2300000000,United States,cable television,1362
Jitendra Virwani,2300000000,India,real estate,1362
Arkady Volozh,2300000000,Russia,search engine,1362
Lang Walker,2300000000,Australia,real estate,1362
Wei Ying-Chiao,2300000000,Taiwan,"food, beverages",1362
Wu Zhongyi,2300000000,China,electronics,1362
Elaine Wynn,2300000000,United States,"casinos, hotels",1362
Xu Chuanhua & family,2300000000,China,"chemicals, logistics",1362
Jerry Yang,2300000000,United States,Yahoo,1362
Yang Weidong & family,2300000000,China,chemicals,1362
Barry Zekelman,2300000000,Canada,steel,1362
Zhang Xuezheng,2300000000,China,telecom,1362
Zhang Yin,2300000000,China,paper manufacturing,1362
Kostyantin Zhevago,2300000000,Ukraine,mining,1362
Jose Joao Abdalla Filho,2200000000,Brazil,investments,1444
Abdulla Al Futtaim & family,2200000000,United Arab Emirates,"auto dealers, investments",1444
Ramon Ang,2200000000,Philippines,Diversified,1444
Bill Austin,2200000000,United States,hearing aids,1444
Acharya Balkrishna,2200000000,India,consumer goods,1444
Richard Barton,2200000000,United States,Zillow,1444
Edward Bass,2200000000,United States,"oil, investments",1444
Thor Bjorgolfsson,2200000000,Iceland,investments,1444
Nikolai Buinov,2200000000,Russia,"oil, gas",1444
Bruce Cheng,2200000000,Taiwan,electronics,1444
Chin Jong Hwa,2200000000,Taiwan,auto parts,1444
Jai Hari & Yadu Hari Dalmia & family,2200000000,India,cement,1444
Dermot Desmond,2200000000,Ireland,finance,1444
K. Dinesh,2200000000,India,software services,1444
"Frank Fertitta, III.",2200000000,United States,"casinos, mixed martial arts",1444
Lorenzo Fertitta,2200000000,United States,"casinos, mixed martial arts",1444
Maria Franca Fissolo,2200000000,Italy,"Nutella, chocolates",1444
Serge Godin,2200000000,Canada,information technology,1444
Gu Wei,2200000000,China,consumer electronics,1444
Jeffrey Gundlach,2200000000,United States,investments,1444
Guo Jiangang,2200000000,China,household appliances,1444
Carlos Hank Rhon,2200000000,Mexico,banking,1444
Gerry Harvey,2200000000,Australia,retail,1444
Huang Guanlin,2200000000,China,"textiles, apparel",1444
Huang Wei,2200000000,China,real estate,1444
Hui Lin Chit,2200000000,China,hygiene products,1444
Randal J. Kirk,2200000000,United States,pharmaceuticals,1444
Leo Koguan,2200000000,United States,IT provider,1444
Miguel Krigsner,2200000000,Brazil,cosmetics,1444
Kwek Leng Kee,2200000000,Singapore,diversified,1444
Thomas Kwok,2200000000,Hong Kong,real estate,1444
Lau Cho Kun,2200000000,Malaysia,"palm oil, property",1444
Jeff Lawson,2200000000,United States,software,1444
Max Levchin,2200000000,United States,fintech,1444
Li Guoqing,2200000000,China,Petro Fibre,1444
Li Shuirong,2200000000,China,petrochemicals,1444
Li Yongqing,2200000000,China,Petro Firbe,1444
Liang Xinjun,2200000000,China,conglomerate,1444
Lin Chang Su-O,2200000000,Taiwan,real estate,1444
Lin Fanlian,2200000000,China,"energy, real estate",1444
Scott Lin,2200000000,Taiwan,optical components,1444
Mao Zhongwu,2200000000,China,manufacturing,1444
David McMurtry,2200000000,United Kingdom,manufacturing,1444
Rubens Menin Teixeira de Souza,2200000000,Brazil,"home building, banking",1444
Mi Enhua,2200000000,China,retail,1444
Bob Parsons,2200000000,United States,web hosting,1444
Catherine Phillips,2200000000,Canada,investments,1444
John Phillips,2200000000,Canada,investments,1444
Arvind Poddar,2200000000,India,tires,1444
Qian Ying,2200000000,China,pig breeding,1444
Phillip T. (Terry) Ragon,2200000000,United States,health IT,1444
Alberto Roemmers,2200000000,Argentina,pharmaceuticals,1444
Shashi & Ravi Ruia,2200000000,India,diversified,1444
Vlad Shmunis,2200000000,United States,cloud technology,1444
Alberto Siccardi & family,2200000000,Switzerland,medical devices,1444
Sebastian Siemiatkowski,2200000000,Sweden,fintech,1444
Salil Singhal,2200000000,India,agrochemicals,1444
Dean Solon,2200000000,United States,solar systems,1444
Timothy Springer,2200000000,United States,biotech,1444
Peter Spuhler,2200000000,Switzerland,train cars,1444
Tang Yiu,2200000000,Hong Kong,fashion retail,1444
Tran Dinh Long,2200000000,Vietnam,steel,1444
Anna Katharina Viessmann,2200000000,Germany,heating and cooling equipment,1444
David Walentas,2200000000,United States,real estate,1444
Wu Lanlan & family,2200000000,China,packaging,1444
Wu Yiling,2200000000,China,pharmaceuticals,1444
Xiang Wenbo,2200000000,China,manufacturing,1444
Xie Liangzhi & family,2200000000,China,biotech,1444
Xu Yuejuan,2200000000,China,Petro Fibre,1444
Shintaro Yamada,2200000000,Japan,mobile apps,1444
Yang Jian,2200000000,China,real estate,1444
Gavril Yushvaev,2200000000,Russia,"precious metals, real estate",1444
Zhang Jingzhang & family,2200000000,China,precision machinery,1444
Michael Ashcroft,2100000000,United Kingdom,security,1517
George Bishop,2100000000,United States,oil & gas,1517
Julio Bozano,2100000000,Brazil,banking,1517
Herb Chambers,2100000000,United States,car dealerships,1517
Andrew & Peggy Cherng,2100000000,United States,restaurants,1517
Jacques D'Amours,2100000000,Canada,retail,1517
Ray Davis,2100000000,United States,pipelines,1517
Diao Zhizhong,2100000000,China,software,1517
Michael Federmann & family,2100000000,Israel,"defense, hotels",1517
William Fisher,2100000000,United States,Gap,1517
Bernard Fraisse,2100000000,France,pharmaceuticals,1517
Fabricio Garcia,2100000000,Brazil,retail,1517
Flavia Bittar Garcia Faleiros,2100000000,Brazil,retail,1517
Gordon Getty,2100000000,United States,Getty Oil,1517
Philippe Ginestet & family,2100000000,France,retail stores,1517
Gong Yingying,2100000000,China,health IT,1517
Lutz Mario Helmig,2100000000,Germany,hospitals,1517
Ilkka Herlin,2100000000,Finland,"elevators, escalators",1517
Arthur Xiaobo Hong,2100000000,China,e-commerce,1517
Hong Feng,2100000000,China,smartphones,1517
Huang Shih Tsai,2100000000,Hong Kong,real estate,1517
Jiang Yehua & family,2100000000,China,real estate,1517
Keeree Kanjanapas,2100000000,Thailand,transportation,1517
Alexander Karp,2100000000,United States,software firm,1517
Bruce Karsh,2100000000,United States,private equity,1517
Mustafa Kucuk,2100000000,Turkey,fashion retail,1517
Dominika Kulczyk,2100000000,Poland,diversified,1517
Philippe Laffont,2100000000,United States,hedge fund,1517
Henry Laufer,2100000000,United States,hedge funds,1517
Frank Laukien,2100000000,United States,scientific equipment,1517
Mark Leonard & family,2100000000,Canada,software,1517
Li Wanqiang,2100000000,China,smartphones,1517
Li Weiwei,2100000000,China,online games,1517
Lin Chen-hai,2100000000,Taiwan,real estate,1517
Lin Yinsun,2100000000,China,agribusiness,1517
Liu Zhongtian & family,2100000000,China,aluminum products,1517
Daniel Lubetzky,2100000000,United States,snack bars,1517
Prayudh Mahagitsiri,2100000000,Thailand,"coffee, shipping",1517
Igor Makarov,2100000000,Russia,investments,1517
Kishore Mariwala,2100000000,India,consumer goods,1517
Howard Marks,2100000000,United States,private equity,1517
Katarina Martinson,2100000000,Sweden,investments,1517
Vincent McMahon,2100000000,United States,entertainment,1517
David Murdock,2100000000,United States,"Dole, real estate",1517
Vikas Oberoi,2100000000,India,real estate,1517
Erik Paulsson & family,2100000000,Sweden,"construction, real estate",1517
Roger Penske,2100000000,United States,cars,1517
Florentino Perez,2100000000,Spain,construction,1517
Phil Ruffin,2100000000,United States,"casinos, real estate",1517
Richard Sands,2100000000,United States,liquor,1517
Robert Sands,2100000000,United States,liquor,1517
Dieter Schnabel,2100000000,Germany,chemicals,1517
Christiane Schoeller,2100000000,Germany,publishing,1517
Jeffrey Talpins,2100000000,United States,hedge fund,1517
Timur Turlov,2100000000,Russia,stock brokerage,1517
Sandro Veronesi & family,2100000000,Italy,fashion,1517
Wang Chou-hsiong,2100000000,Taiwan,footwear,1517
Wang Minwen,2100000000,China,semiconductor,1517
Weng Xianding,2100000000,China,medical devices,1517
Michael Xie,2100000000,United States,cybersecurity,1517
Yuan Fugen & family,2100000000,China,metal processing,1517
Zhao Fenggang,2100000000,China,batteries,1517
Zhou Zongwen & family,2100000000,China,jewelry,1517
S. Daniel Abraham,2000000000,United States,Slim-Fast,1580
Isak Andic & family,2000000000,Spain,fashion retail,1580
Roberto Angelini Rossi,2000000000,Chile,"forestry, mining",1580
Masaaki Arai,2000000000,Japan,home sales,1580
George Argyros & family,2000000000,United States,"real estate, investments",1580
Pavel Baudis,2000000000,Czechia,software,1580
Anne Beaufour,2000000000,France,pharmaceuticals,1580
Henri Beaufour,2000000000,France,pharmaceuticals,1580
Brett Blundy,2000000000,Australia,"retail, agribusiness",1580
J. Hyatt Brown,2000000000,United States,insurance,1580
Dai Wenjun,2000000000,China,food,1580
Sol Daurella,2000000000,Spain,Coca-Cola bottler,1580
John de Mol,2000000000,Netherlands,TV programs,1580
Dou Zhenggang,2000000000,China,"energy, chemicals",1580
Glenn Dubin,2000000000,United States,hedge funds,1580
John Elkann,2000000000,Italy,"FIAT, investments",1580
Ibrahim Erdemoglu,2000000000,Turkey,carpet,1580
Andy Fang,2000000000,United States,food delivery app,1580
Fang Hongbo,2000000000,China,home appliances,1580
Kenneth Feld & family,2000000000,United States,live entertainment,1580
Walter Frey,2000000000,Switzerland,car dealerships,1580
